# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
IF-MIB	1.3.6.1.2.1.2.2.1.4.7	ifMtu.7	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.8	ifMtu.8	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.9	ifMtu.9	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.10	ifMtu.10	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.11	ifMtu.11	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.12	ifMtu.12	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.13	ifMtu.13	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.14	ifMtu.14	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.15	ifMtu.15	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.4.16	ifMtu.16	Integer32	1500
IF-MIB	1.3.6.1.2.1.2.2.1.5.1	ifSpeed.1	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.2	ifSpeed.2	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.3	ifSpeed.3	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.4	ifSpeed.4	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.5	ifSpeed.5	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.6	ifSpeed.6	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.7	ifSpeed.7	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.8	ifSpeed.8	Gauge32	1000000
IF-MIB	1.3.6.1.2.1.2.2.1.5.9	ifSpeed.9	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.10	ifSpeed.10	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.11	ifSpeed.11	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.12	ifSpeed.12	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.13	ifSpeed.13	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.14	ifSpeed.14	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.15	ifSpeed.15	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.5.16	ifSpeed.16	Gauge32	0
IF-MIB	1.3.6.1.2.1.2.2.1.6.1	ifPhysAddress.1	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.2	ifPhysAddress.2	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.3	ifPhysAddress.3	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.4	ifPhysAddress.4	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.5	ifPhysAddress.5	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.6	ifPhysAddress.6	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.7	ifPhysAddress.7	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.8	ifPhysAddress.8	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.9	ifPhysAddress.9	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.10	ifPhysAddress.10	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.11	ifPhysAddress.11	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.12	ifPhysAddress.12	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.13	ifPhysAddress.13	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.14	ifPhysAddress.14	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.15	ifPhysAddress.15	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.6.16	ifPhysAddress.16	PhysAddress	
IF-MIB	1.3.6.1.2.1.2.2.1.7.1	ifAdminStatus.1	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.2	ifAdminStatus.2	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.3	ifAdminStatus.3	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.4	ifAdminStatus.4	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.5	ifAdminStatus.5	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.6	ifAdminStatus.6	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.7	ifAdminStatus.7	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.8	ifAdminStatus.8	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.9	ifAdminStatus.9	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.10	ifAdminStatus.10	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.11	ifAdminStatus.11	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.12	ifAdminStatus.12	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.13	ifAdminStatus.13	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.14	ifAdminStatus.14	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.15	ifAdminStatus.15	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.7.16	ifAdminStatus.16	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.1	ifOperStatus.1	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.2	ifOperStatus.2	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.3	ifOperStatus.3	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.4	ifOperStatus.4	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.5	ifOperStatus.5	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.6	ifOperStatus.6	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.7	ifOperStatus.7	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.8	ifOperStatus.8	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.9	ifOperStatus.9	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.10	ifOperStatus.10	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.11	ifOperStatus.11	INTEGER	1
IF-MIB	1.3.6.1.2.1.2.2.1.8.12	ifOperStatus.12	INTEGER	1
