# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.1	enterprises.34592.1.3.2.3.1.1.9.1		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.2	enterprises.34592.1.3.2.3.1.1.9.2		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.3	enterprises.34592.1.3.2.3.1.1.9.3		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.4	enterprises.34592.1.3.2.3.1.1.9.4		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.5	enterprises.34592.1.3.2.3.1.1.9.5		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.6	enterprises.34592.1.3.2.3.1.1.9.6		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.7	enterprises.34592.1.3.2.3.1.1.9.7		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.1.1.9.8	enterprises.34592.1.3.2.3.1.1.9.8		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.1	enterprises.34592.1.3.2.3.2.1.3.1		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.2	enterprises.34592.1.3.2.3.2.1.3.2		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.3	enterprises.34592.1.3.2.3.2.1.3.3		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.4	enterprises.34592.1.3.2.3.2.1.3.4		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.5	enterprises.34592.1.3.2.3.2.1.3.5		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.6	enterprises.34592.1.3.2.3.2.1.3.6		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.7	enterprises.34592.1.3.2.3.2.1.3.7		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.8	enterprises.34592.1.3.2.3.2.1.3.8		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.9	enterprises.34592.1.3.2.3.2.1.3.9		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.10	enterprises.34592.1.3.2.3.2.1.3.10		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.11	enterprises.34592.1.3.2.3.2.1.3.11		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.12	enterprises.34592.1.3.2.3.2.1.3.12		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.13	enterprises.34592.1.3.2.3.2.1.3.13		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.14	enterprises.34592.1.3.2.3.2.1.3.14		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.15	enterprises.34592.1.3.2.3.2.1.3.15		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.3.16	enterprises.34592.1.3.2.3.2.1.3.16		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.1	enterprises.34592.1.3.2.3.2.1.4.1		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.2	enterprises.34592.1.3.2.3.2.1.4.2		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.3	enterprises.34592.1.3.2.3.2.1.4.3		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.4	enterprises.34592.1.3.2.3.2.1.4.4		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.5	enterprises.34592.1.3.2.3.2.1.4.5		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.6	enterprises.34592.1.3.2.3.2.1.4.6		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.7	enterprises.34592.1.3.2.3.2.1.4.7		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.8	enterprises.34592.1.3.2.3.2.1.4.8		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.9	enterprises.34592.1.3.2.3.2.1.4.9		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.10	enterprises.34592.1.3.2.3.2.1.4.10		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.11	enterprises.34592.1.3.2.3.2.1.4.11		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.12	enterprises.34592.1.3.2.3.2.1.4.12		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.13	enterprises.34592.1.3.2.3.2.1.4.13		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.14	enterprises.34592.1.3.2.3.2.1.4.14		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.15	enterprises.34592.1.3.2.3.2.1.4.15		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.4.16	enterprises.34592.1.3.2.3.2.1.4.16		3
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.1	enterprises.34592.1.3.2.3.2.1.5.1		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.2	enterprises.34592.1.3.2.3.2.1.5.2		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.3	enterprises.34592.1.3.2.3.2.1.5.3		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.4	enterprises.34592.1.3.2.3.2.1.5.4		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.5	enterprises.34592.1.3.2.3.2.1.5.5		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.6	enterprises.34592.1.3.2.3.2.1.5.6		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.7	enterprises.34592.1.3.2.3.2.1.5.7		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.8	enterprises.34592.1.3.2.3.2.1.5.8		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.9	enterprises.34592.1.3.2.3.2.1.5.9		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.10	enterprises.34592.1.3.2.3.2.1.5.10		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.11	enterprises.34592.1.3.2.3.2.1.5.11		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.12	enterprises.34592.1.3.2.3.2.1.5.12		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.13	enterprises.34592.1.3.2.3.2.1.5.13		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.14	enterprises.34592.1.3.2.3.2.1.5.14		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.15	enterprises.34592.1.3.2.3.2.1.5.15		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.5.16	enterprises.34592.1.3.2.3.2.1.5.16		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.1	enterprises.34592.1.3.2.3.2.1.6.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.2	enterprises.34592.1.3.2.3.2.1.6.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.3	enterprises.34592.1.3.2.3.2.1.6.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.4	enterprises.34592.1.3.2.3.2.1.6.4		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.5	enterprises.34592.1.3.2.3.2.1.6.5		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.6	enterprises.34592.1.3.2.3.2.1.6.6		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.7	enterprises.34592.1.3.2.3.2.1.6.7		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.8	enterprises.34592.1.3.2.3.2.1.6.8		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.9	enterprises.34592.1.3.2.3.2.1.6.9		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.10	enterprises.34592.1.3.2.3.2.1.6.10		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.11	enterprises.34592.1.3.2.3.2.1.6.11		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.12	enterprises.34592.1.3.2.3.2.1.6.12		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.13	enterprises.34592.1.3.2.3.2.1.6.13		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.14	enterprises.34592.1.3.2.3.2.1.6.14		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.15	enterprises.34592.1.3.2.3.2.1.6.15		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.6.16	enterprises.34592.1.3.2.3.2.1.6.16		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.1	enterprises.34592.1.3.2.3.2.1.7.1		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.2	enterprises.34592.1.3.2.3.2.1.7.2		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.3	enterprises.34592.1.3.2.3.2.1.7.3		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.4	enterprises.34592.1.3.2.3.2.1.7.4		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.5	enterprises.34592.1.3.2.3.2.1.7.5		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.6	enterprises.34592.1.3.2.3.2.1.7.6		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.7	enterprises.34592.1.3.2.3.2.1.7.7		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.8	enterprises.34592.1.3.2.3.2.1.7.8		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.9	enterprises.34592.1.3.2.3.2.1.7.9		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.10	enterprises.34592.1.3.2.3.2.1.7.10		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.11	enterprises.34592.1.3.2.3.2.1.7.11		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.12	enterprises.34592.1.3.2.3.2.1.7.12		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.13	enterprises.34592.1.3.2.3.2.1.7.13		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.14	enterprises.34592.1.3.2.3.2.1.7.14		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.15	enterprises.34592.1.3.2.3.2.1.7.15		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.7.16	enterprises.34592.1.3.2.3.2.1.7.16		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.1	enterprises.34592.1.3.2.3.2.1.8.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.2	enterprises.34592.1.3.2.3.2.1.8.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.3	enterprises.34592.1.3.2.3.2.1.8.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.4	enterprises.34592.1.3.2.3.2.1.8.4		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.5	enterprises.34592.1.3.2.3.2.1.8.5		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.6	enterprises.34592.1.3.2.3.2.1.8.6		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.7	enterprises.34592.1.3.2.3.2.1.8.7		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.8	enterprises.34592.1.3.2.3.2.1.8.8		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.9	enterprises.34592.1.3.2.3.2.1.8.9		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.10	enterprises.34592.1.3.2.3.2.1.8.10		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.11	enterprises.34592.1.3.2.3.2.1.8.11		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.12	enterprises.34592.1.3.2.3.2.1.8.12		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.13	enterprises.34592.1.3.2.3.2.1.8.13		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.14	enterprises.34592.1.3.2.3.2.1.8.14		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.15	enterprises.34592.1.3.2.3.2.1.8.15		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.8.16	enterprises.34592.1.3.2.3.2.1.8.16		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.1	enterprises.34592.1.3.2.3.2.1.9.1		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.2	enterprises.34592.1.3.2.3.2.1.9.2		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.3	enterprises.34592.1.3.2.3.2.1.9.3		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.4	enterprises.34592.1.3.2.3.2.1.9.4		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.5	enterprises.34592.1.3.2.3.2.1.9.5		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.6	enterprises.34592.1.3.2.3.2.1.9.6		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.7	enterprises.34592.1.3.2.3.2.1.9.7		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.8	enterprises.34592.1.3.2.3.2.1.9.8		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.9	enterprises.34592.1.3.2.3.2.1.9.9		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.10	enterprises.34592.1.3.2.3.2.1.9.10		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.11	enterprises.34592.1.3.2.3.2.1.9.11		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.12	enterprises.34592.1.3.2.3.2.1.9.12		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.13	enterprises.34592.1.3.2.3.2.1.9.13		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.14	enterprises.34592.1.3.2.3.2.1.9.14		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.15	enterprises.34592.1.3.2.3.2.1.9.15		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.9.16	enterprises.34592.1.3.2.3.2.1.9.16		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.1	enterprises.34592.1.3.2.3.2.1.10.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.2	enterprises.34592.1.3.2.3.2.1.10.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.3	enterprises.34592.1.3.2.3.2.1.10.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.4	enterprises.34592.1.3.2.3.2.1.10.4		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.5	enterprises.34592.1.3.2.3.2.1.10.5		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.6	enterprises.34592.1.3.2.3.2.1.10.6		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.7	enterprises.34592.1.3.2.3.2.1.10.7		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.8	enterprises.34592.1.3.2.3.2.1.10.8		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.9	enterprises.34592.1.3.2.3.2.1.10.9		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.10	enterprises.34592.1.3.2.3.2.1.10.10		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.11	enterprises.34592.1.3.2.3.2.1.10.11		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.12	enterprises.34592.1.3.2.3.2.1.10.12		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.13	enterprises.34592.1.3.2.3.2.1.10.13		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.14	enterprises.34592.1.3.2.3.2.1.10.14		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.15	enterprises.34592.1.3.2.3.2.1.10.15		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.10.16	enterprises.34592.1.3.2.3.2.1.10.16		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.1	enterprises.34592.1.3.2.3.2.1.11.1		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.2	enterprises.34592.1.3.2.3.2.1.11.2		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.3	enterprises.34592.1.3.2.3.2.1.11.3		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.4	enterprises.34592.1.3.2.3.2.1.11.4		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.5	enterprises.34592.1.3.2.3.2.1.11.5		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.6	enterprises.34592.1.3.2.3.2.1.11.6		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.7	enterprises.34592.1.3.2.3.2.1.11.7		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.8	enterprises.34592.1.3.2.3.2.1.11.8		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.9	enterprises.34592.1.3.2.3.2.1.11.9		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.10	enterprises.34592.1.3.2.3.2.1.11.10		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.11	enterprises.34592.1.3.2.3.2.1.11.11		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.12	enterprises.34592.1.3.2.3.2.1.11.12		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.13	enterprises.34592.1.3.2.3.2.1.11.13		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.14	enterprises.34592.1.3.2.3.2.1.11.14		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.15	enterprises.34592.1.3.2.3.2.1.11.15		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.11.16	enterprises.34592.1.3.2.3.2.1.11.16		1
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.1	enterprises.34592.1.3.2.3.2.1.12.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.2	enterprises.34592.1.3.2.3.2.1.12.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.3	enterprises.34592.1.3.2.3.2.1.12.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.4	enterprises.34592.1.3.2.3.2.1.12.4		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.5	enterprises.34592.1.3.2.3.2.1.12.5		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.6	enterprises.34592.1.3.2.3.2.1.12.6		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.7	enterprises.34592.1.3.2.3.2.1.12.7		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.8	enterprises.34592.1.3.2.3.2.1.12.8		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.9	enterprises.34592.1.3.2.3.2.1.12.9		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.10	enterprises.34592.1.3.2.3.2.1.12.10		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.11	enterprises.34592.1.3.2.3.2.1.12.11		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.12	enterprises.34592.1.3.2.3.2.1.12.12		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.13	enterprises.34592.1.3.2.3.2.1.12.13		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.14	enterprises.34592.1.3.2.3.2.1.12.14		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.15	enterprises.34592.1.3.2.3.2.1.12.15		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.12.16	enterprises.34592.1.3.2.3.2.1.12.16		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.1	enterprises.34592.1.3.2.3.2.1.13.1		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.2	enterprises.34592.1.3.2.3.2.1.13.2		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.3	enterprises.34592.1.3.2.3.2.1.13.3		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.4	enterprises.34592.1.3.2.3.2.1.13.4		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.5	enterprises.34592.1.3.2.3.2.1.13.5		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.6	enterprises.34592.1.3.2.3.2.1.13.6		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.7	enterprises.34592.1.3.2.3.2.1.13.7		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.8	enterprises.34592.1.3.2.3.2.1.13.8		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.9	enterprises.34592.1.3.2.3.2.1.13.9		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.10	enterprises.34592.1.3.2.3.2.1.13.10		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.11	enterprises.34592.1.3.2.3.2.1.13.11		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.12	enterprises.34592.1.3.2.3.2.1.13.12		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.13	enterprises.34592.1.3.2.3.2.1.13.13		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.14	enterprises.34592.1.3.2.3.2.1.13.14		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.15	enterprises.34592.1.3.2.3.2.1.13.15		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.13.16	enterprises.34592.1.3.2.3.2.1.13.16		2
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.1	enterprises.34592.1.3.2.3.2.1.14.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.2	enterprises.34592.1.3.2.3.2.1.14.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.3	enterprises.34592.1.3.2.3.2.1.14.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.4	enterprises.34592.1.3.2.3.2.1.14.4		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.5	enterprises.34592.1.3.2.3.2.1.14.5		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.6	enterprises.34592.1.3.2.3.2.1.14.6		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.7	enterprises.34592.1.3.2.3.2.1.14.7		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.8	enterprises.34592.1.3.2.3.2.1.14.8		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.9	enterprises.34592.1.3.2.3.2.1.14.9		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.10	enterprises.34592.1.3.2.3.2.1.14.10		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.11	enterprises.34592.1.3.2.3.2.1.14.11		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.12	enterprises.34592.1.3.2.3.2.1.14.12		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.13	enterprises.34592.1.3.2.3.2.1.14.13		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.14	enterprises.34592.1.3.2.3.2.1.14.14		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.15	enterprises.34592.1.3.2.3.2.1.14.15		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.14.16	enterprises.34592.1.3.2.3.2.1.14.16		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.15.1	enterprises.34592.1.3.2.3.2.1.15.1		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.15.2	enterprises.34592.1.3.2.3.2.1.15.2		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.15.3	enterprises.34592.1.3.2.3.2.1.15.3		0
SNMPv2-SMI	1.3.6.1.4.1.34592.1.3.2.3.2.1.15.4	enterprises.34592.1.3.2.3.2.1.15.4		0
